w1,lam,lam2,w2,Settling Time,Rise Time,Overshoot,Control Effort,Total Reward,Steady-State Error
0.1,1.525,0.1,0.05500000000000001,54,0,0.8576025023698807,46.77872543549165,-101.63079018070428,0.0
0.1,1.525,0.1,0.1,139,0,0.8576514306992292,47.39300338551402,-104.44537075736034,0.0
0.1,1.525,0.575,0.01,104,0,0.8576909216046334,47.16135736135766,-103.32280771127249,0.0
0.1,1.525,0.575,0.05500000000000001,92,0,0.8576742629766465,47.05899072717875,-102.94178253384761,0.0
0.1,1.525,0.575,0.1,49,0,0.8577045945316553,46.75590980052948,-101.45258136358211,0.0
0.1,1.525,1.05,0.01,78,0,0.8577340349137783,46.963878121227026,-102.44036738004823,0.0
0.1,1.525,1.05,0.05500000000000001,49,0,0.8577121767878533,46.764057755470276,-101.44652712673835,0.0
0.1,1.525,1.05,0.1,121,0,0.9896915057897574,47.302378504304215,-103.96943359888118,0.0
0.1,1.525,1.525,0.01,209,0,0.9898038206676614,47.907191252335906,-106.93070647615167,0.0
0.1,1.525,1.525,0.05500000000000001,60,0,0.8577657048732041,46.82816837867722,-101.80989391363256,0.0
0.1,1.525,1.525,0.1,150,0,0.8577914856404065,47.52703115227632,-105.0165314083398,0.0
0.1,1.525,2.0,0.01,122,0,0.857805124154687,47.267858863575384,-103.9471948832872,0.0
0.1,1.525,2.0,0.05500000000000001,132,0,0.9895965458909459,47.35494338639546,-104.28006079839876,0.0
0.1,1.525,2.0,0.1,82,0,0.8578362015783787,46.974553095933516,-102.59707392330671,0.0
0.1,2.0,0.1,0.01,85,0,0.8578625143438579,47.02683083480224,-102.69181722651456,0.0
0.1,2.0,0.1,0.05500000000000001,49,0,0.8578992902368306,46.792832016944885,-101.42109865242111,0.0
0.1,2.0,0.1,0.1,49,0,0.8579036004841327,46.79228115081787,-101.42007992330278,0.0
0.1,2.0,0.575,0.01,49,0,0.8578791825830937,46.776790499687195,-101.42754834606768,0.0
0.1,2.0,0.575,0.05500000000000001,129,0,0.9894766026954609,47.35465184831992,-104.25041999206198,0.0
0.1,2.0,0.575,0.1,392,0,0.9897870483756014,49.29541089129634,-113.4725250901619,0.0
0.1,2.0,1.05,0.01,258,0,0.857952332314849,48.2392037876416,-108.61568698435619,0.0
0.1,2.0,1.05,0.05500000000000001,213,0,0.8579595268398522,47.91439913446084,-106.99411210028043,0.0
0.1,2.0,1.05,0.1,233,0,0.9897575669867487,48.06350246898364,-107.76444285431049,0.0
0.1,2.0,1.525,0.01,217,0,0.9896030234510756,47.92735450924374,-107.2071949068032,0.0
0.1,2.0,1.525,0.05500000000000001,188,0,0.9895001177300031,47.73666919476818,-106.2413956691172,0.0
0.1,2.0,1.525,0.1,174,0,0.9895300149550373,47.632520199986175,-105.74805480994684,0.0
0.1,2.0,2.0,0.01,95,0,0.8580908484727144,47.099689804861555,-103.07310423397519,0.0
0.1,2.0,2.0,0.05500000000000001,263,0,0.9899880673778625,48.30193173000589,-108.81916595017947,0.0
0.1,2.0,2.0,0.1,178,0,0.8580945525586605,47.6971428465331,-105.93656621299307,0.0
0.575,0.1,0.1,0.01,189,0,0.9897864706594688,47.7470902686473,-106.2334950833671,0.0
0.575,0.1,0.1,0.05500000000000001,162,0,0.9899061461259351,47.55763855110854,-105.3194839222594,0.0
0.575,0.1,0.1,0.1,171,0,0.9897342337211645,47.61212108185282,-105.67597714772663,0.0
0.575,0.1,0.575,0.01,94,0,0.8581196560591459,47.06055268738419,-102.99476010394159,0.0
0.575,0.1,0.575,0.05500000000000001,312,0,0.9899120622902318,48.697502268245444,-110.55930530429059,0.0
0.575,0.1,0.575,0.1,164,0,0.9898381086192987,47.56307039037347,-105.39641615274513,0.0
0.575,0.1,1.05,0.01,192,0,0.9892507243379571,47.80705549148843,-106.54006356023392,0.0
0.575,0.1,1.05,0.05500000000000001,84,0,0.8582265906006098,47.018285147845745,-102.60598002104288,0.0
0.575,0.1,1.05,0.1,49,0,0.8582911877691747,46.796208798885345,-101.39497572132919,0.0
0.575,0.1,1.525,0.01,49,0,0.8582961040616035,46.82433867454529,-101.38000923603317,0.0
0.575,0.1,1.525,0.05500000000000001,49,0,0.8582674505949021,46.81092286109924,-101.38620712031029,0.0
0.575,0.1,1.525,0.1,49,0,0.858237273812294,46.79875534772873,-101.39249757700526,0.0
0.575,0.1,2.0,0.01,49,0,0.8582437475204467,46.7669797539711,-101.40850832973501,0.0
0.575,0.1,2.0,0.05500000000000001,97,0,0.8582053598612547,47.093745606718585,-103.0564894371968,0.0
0.575,0.1,2.0,0.1,180,0,0.9898071452554368,47.655992752173916,-105.9890698555654,0.0
0.575,0.575,0.1,0.01,364,0,0.8582455989331008,49.019987925188616,-112.3183832803057,0.0
0.575,0.575,0.1,0.05500000000000001,159,0,0.8583292492359875,47.54968391149305,-105.19384337148307,0.0
0.575,0.575,0.1,0.1,49,0,0.8583653148889541,46.85806119441986,-101.35939260863009,0.0
0.575,0.575,0.575,0.01,49,0,0.8583104085326195,46.8289874792099,-101.37331824029854,0.0
0.575,0.575,0.575,0.05500000000000001,49,0,0.8583054192125797,46.803488314151764,-101.38625957275616,0.0
0.575,0.575,0.575,0.1,65,0,0.8582776932358742,46.87836538115516,-101.97928062936482,0.0
0.575,0.575,1.05,0.01,138,0,0.9899019573225544,47.3987216365058,-104.475421569758,0.0
0.575,0.575,1.05,0.05500000000000001,164,0,0.9895914992690087,47.53068485041149,-105.33314103601245,0.0
0.575,0.575,1.05,0.1,194,0,0.858358832204342,47.75568381207995,-106.40938241906937,0.0
0.575,0.575,1.525,0.01,49,0,0.858346505200863,46.79761463403702,-101.38692700695394,0.0
0.575,0.575,1.525,0.05500000000000001,49,0,0.8583279644668103,46.78629583120346,-101.3922645123752,0.0
0.575,0.575,1.525,0.1,69,0,0.98976108745812,46.89596089650877,-102.06521104532239,0.0
0.575,0.575,2.0,0.01,228,0,0.9896654004564882,48.02604590484407,-107.53987190365558,0.0
0.575,0.575,2.0,0.05500000000000001,174,0,0.9892423442545534,47.56432968028821,-105.73721635055789,0.0
0.575,0.575,2.0,0.1,195,0,0.8583332523524762,47.71563290868653,-106.32190823611768,0.0
0.575,1.05,0.1,0.01,296,0,0.9899573243696934,48.51095002423972,-109.76416249931609,0.0
0.575,1.05,0.1,0.05500000000000001,143,0,0.9898461057806739,47.38123185117729,-104.73880924147267,0.0
0.575,1.05,0.1,0.1,159,0,0.9896470227046014,47.454915381618775,-105.24803863769463,0.0
0.575,1.05,0.575,0.01,197,0,0.8583936553865672,47.81272075767629,-106.51990436403034,0.0
0.575,1.05,0.575,0.05500000000000001,157,0,0.9897724997821424,47.51251514838077,-105.16423853056018,0.0
0.575,1.05,0.575,0.1,164,0,0.9899792171819747,47.574186653248034,-105.35628349235522,0.0
0.575,1.05,1.05,0.01,260,0,0.9898333144729318,48.234680452151224,-108.69215026733411,0.0
0.575,1.05,1.05,0.05500000000000001,264,0,0.9895940480495138,48.26327908155508,-108.8533190134801,0.0
0.575,1.05,1.05,0.1,238,0,0.9898147392375892,48.111873068497516,-108.00531732528538,0.0
0.575,1.05,1.525,0.01,196,0,0.9898134696454725,47.79946854664013,-106.46042227188185,0.0
0.575,1.05,1.525,0.05500000000000001,184,0,0.8584511413305997,47.68027259683004,-106.02914309980686,0.0
0.575,1.05,1.525,0.1,49,0,0.8585242357641458,46.86129206418991,-101.34727825291561,0.0
0.575,1.05,2.0,0.01,49,0,0.8585899892598392,46.89244645833969,-101.33057338981139,0.0
0.575,1.05,2.0,0.05500000000000001,49,0,0.8586233239144088,46.92154633998871,-101.3149808078253,0.0
0.575,1.05,2.0,0.1,49,0,0.8586723897337913,46.977996468544006,-101.2858488109999,0.0
0.575,1.525,0.1,0.01,49,0,0.8586326912969351,46.93633711338043,-101.30586102398979,0.0
0.575,1.525,0.1,0.05500000000000001,49,0,0.8586173159182072,46.87934798002243,-101.33383604160885,0.0
0.575,1.525,0.1,0.1,49,0,0.8585845664680004,46.84594774246216,-101.35038654516264,0.0
0.575,1.525,0.575,0.01,49,0,0.8585337678700686,46.80193918943405,-101.37211361038841,0.0
0.575,1.525,0.575,0.05500000000000001,52,0,0.8585849517136813,46.80620713613462,-101.47924802189566,0.0
0.575,1.525,0.575,0.1,102,0,0.9896865913562307,47.133228831226006,-103.22017337781364,0.0
0.575,1.525,1.05,0.01,146,0,0.9898314880699717,47.45319184841355,-104.9290158209291,0.0
0.575,1.525,1.05,0.05500000000000001,160,0,0.9899320225754381,47.512899377557915,-105.15850096917272,0.0
0.575,1.525,1.05,0.1,195,0,0.9899591689470821,47.7301405913895,-106.48022383312946,0.0
0.575,1.525,1.525,0.01,164,0,0.8586116496801376,47.577916248119436,-105.35689869847218,0.0
0.575,1.525,1.525,0.05500000000000001,291,0,0.9898989808876318,48.433146968483925,-109.80179792306464,0.0
0.575,1.525,1.525,0.1,318,0,0.9897156550934911,48.66350514278747,-110.68072670307949,0.0
0.575,1.525,2.0,0.01,232,0,0.9899294902187585,47.99679446808295,-107.83161778221175,0.0
0.575,1.525,2.0,0.05500000000000001,258,0,0.9898344786331761,48.17483196617104,-108.66588769816737,0.0
0.575,1.525,2.0,0.1,184,0,0.9899670062085395,47.63304703729227,-106.04704654380862,0.0
0.575,2.0,0.1,0.01,299,0,0.9895028401063298,48.40235928725451,-109.97429472614101,0.0
0.575,2.0,0.1,0.05500000000000001,133,0,0.9891582241412997,47.24731694164802,-104.32607610122571,0.0
0.575,2.0,0.1,0.1,182,0,0.9897482393140621,47.59931621790747,-105.95648064036723,0.0
0.575,2.0,0.575,0.01,185,0,0.9897786010733182,47.56365346815437,-106.12537936781457,0.0
0.575,2.0,0.575,0.05500000000000001,401,0,0.9895977707257485,49.1856188835809,-113.59764764341517,0.0
0.575,2.0,0.575,0.1,123,0,0.9885567160120606,47.10412868973799,-103.90297682480114,0.0
0.575,2.0,1.05,0.01,105,0,0.9898915727942607,47.00845246849349,-103.38613310962207,0.0
0.575,2.0,1.05,0.05500000000000001,113,0,0.989994522466064,47.13906779527315,-103.83332518534176,0.0
0.575,2.0,1.05,0.1,162,0,0.988339087650478,47.42401891632471,-105.30647438141142,0.0
0.575,2.0,1.525,0.01,226,0,0.9889701479750872,47.84543374268105,-107.53651689617183,0.0
0.575,2.0,1.525,0.05500000000000001,419,0,0.9897812598842173,49.3401975230081,-114.26846888176081,0.0
0.575,2.0,1.525,0.1,154,0,0.9890113842135667,47.36072433411027,-105.17985456600536,0.0
